12:04, Wednesday, June 10, 2015
Study name: Static 2
Units :N/m^2
Selected reference : Front Plane
Node  ,SX  ,SY  ,SZ  ,TXY  ,TXZ  ,TYZ
48  ,1.01812e+003  ,3.61880e+001  ,8.81055e+002  ,7.83122e+001  ,1.06838e+002  ,3.72983e+000
49  ,1.08531e+003  ,9.33395e+000  ,9.46569e+002  ,8.14252e+001  ,6.82147e+000  ,6.77951e+000
50  ,1.09644e+003  ,-4.23263e+000  ,8.98808e+002  ,7.30538e+001  ,-9.76756e+001  ,-8.26027e+000
51  ,1.13287e+003  ,1.90013e+001  ,7.24262e+002  ,6.75732e+001  ,-2.18976e+002  ,-1.94973e+000
52  ,1.19339e+003  ,1.76969e+001  ,4.55056e+002  ,4.56897e+001  ,-3.35839e+002  ,-8.87810e+000
53  ,1.23917e+003  ,4.50229e+000  ,1.53007e+002  ,3.01989e+001  ,-4.07995e+002  ,-2.65431e+000
54  ,2.53039e+003  ,6.64417e+001  ,2.75193e+002  ,6.90726e+001  ,2.49453e+002  ,1.16882e+001
55  ,2.50245e+003  ,3.57271e+001  ,6.99424e+002  ,4.04311e+001  ,1.97831e+002  ,2.40472e+001
56  ,2.43729e+003  ,2.27387e+001  ,1.01905e+003  ,5.39474e+001  ,1.35765e+002  ,1.11467e+001
57  ,2.39991e+003  ,5.21877e+001  ,1.21956e+003  ,6.76693e+001  ,6.14112e+001  ,1.00593e+001
58  ,2.39391e+003  ,5.63259e+001  ,1.28941e+003  ,6.54634e+001  ,1.04770e+001  ,-4.80306e+000
59  ,2.37907e+003  ,5.09272e+001  ,1.21171e+003  ,5.57813e+001  ,-6.87956e+001  ,-3.95020e+000
60  ,2.45200e+003  ,4.79692e+001  ,1.02199e+003  ,6.60145e+001  ,-1.38700e+002  ,-1.01519e+001
61  ,2.53707e+003  ,4.43527e+001  ,6.91703e+002  ,6.10559e+001  ,-1.92389e+002  ,-1.65058e+001
62  ,2.60761e+003  ,2.96293e+001  ,2.53316e+002  ,4.31670e+001  ,-2.33151e+002  ,-1.58093e+001
63  ,3.14252e+003  ,5.00861e+001  ,3.03258e+002  ,1.05265e+000  ,3.92854e+001  ,1.04024e+001
64  ,3.07774e+003  ,7.39953e+001  ,7.69073e+002  ,1.53132e+001  ,6.44452e+001  ,2.73162e+001
65  ,3.10494e+003  ,7.90837e+001  ,1.13001e+003  ,1.90726e+001  ,7.05089e+001  ,2.44005e+001
66  ,3.13751e+003  ,6.74776e+001  ,1.33942e+003  ,-6.33792e+000  ,4.60980e+001  ,1.15849e+001
67  ,3.12823e+003  ,5.88415e+001  ,1.40265e+003  ,-1.91349e+001  ,-2.91810e+000  ,-1.81509e-001
68  ,3.11636e+003  ,5.40986e+001  ,1.33903e+003  ,-5.62779e+001  ,-3.84032e+001  ,-4.23566e+000
69  ,3.05077e+003  ,1.05804e+002  ,1.10763e+003  ,2.41029e+001  ,-5.61366e+001  ,-2.38408e+001
70  ,3.21765e+003  ,1.15299e+001  ,7.90053e+002  ,-1.31461e+001  ,-5.92987e+001  ,-6.70787e+000
71  ,3.24506e+003  ,6.02855e+000  ,3.07330e+002  ,1.41157e+001  ,-3.33056e+001  ,-1.68734e+001
72  ,2.77526e+003  ,2.67820e+001  ,2.40016e+002  ,-4.45092e+001  ,-1.30310e+002  ,1.11619e+001
73  ,2.76350e+003  ,3.18406e+001  ,5.95676e+002  ,-7.84397e+001  ,-2.81081e+001  ,2.12865e+001
74  ,2.68523e+003  ,2.50673e+001  ,8.42150e+002  ,-6.49347e+001  ,2.00208e+001  ,1.00560e+001
75  ,2.74325e+003  ,5.29983e+001  ,1.03488e+003  ,-8.87764e+001  ,2.92775e+001  ,8.13264e+000
76  ,2.76653e+003  ,5.88723e+001  ,1.08989e+003  ,-8.92058e+001  ,-3.78854e+000  ,-2.07630e+000
77  ,2.74942e+003  ,1.20540e+001  ,1.02538e+003  ,-2.43254e+001  ,-2.42135e+001  ,-5.24115e+000
78  ,2.73792e+003  ,5.53682e+001  ,8.83837e+002  ,-9.32361e+001  ,-1.08537e+001  ,-7.76004e+000
79  ,2.75093e+003  ,4.59904e+001  ,5.94952e+002  ,-8.88911e+001  ,2.97128e+001  ,-2.16569e+001
80  ,2.78406e+003  ,1.26963e+001  ,2.31485e+002  ,-3.07610e+001  ,1.30107e+002  ,-1.08059e+001
81  ,1.56870e+003  ,9.06809e+000  ,3.67705e+001  ,-6.01680e+001  ,-1.99052e+002  ,4.27068e+000
82  ,1.54714e+003  ,-1.67288e+001  ,1.78799e+002  ,-7.04038e+001  ,-7.22859e+001  ,1.08034e+001
83  ,1.57960e+003  ,2.18282e+001  ,3.21099e+002  ,-1.08984e+002  ,-3.20084e+000  ,9.36371e+000
84  ,1.56904e+003  ,5.52037e+000  ,4.03684e+002  ,-9.89488e+001  ,1.36643e+001  ,5.58419e-001
85  ,1.57236e+003  ,1.11155e+001  ,4.32939e+002  ,-9.10401e+001  ,2.60168e+000  ,3.18730e+000
86  ,1.56369e+003  ,4.00515e+000  ,4.07858e+002  ,-8.28487e+001  ,-1.37557e+001  ,-2.98612e+000
87  ,1.55903e+003  ,1.12488e+001  ,3.21206e+002  ,-1.00371e+002  ,4.87985e+000  ,-1.00960e+000
88  ,1.57069e+003  ,4.07992e+000  ,1.97704e+002  ,-8.99689e+001  ,7.33461e+001  ,-7.32949e+000
89  ,1.55047e+003  ,1.53689e+001  ,4.50973e+001  ,-8.83988e+001  ,2.09934e+002  ,-1.33418e+001
90  ,3.13762e+002  ,8.60458e+000  ,-1.46372e+002  ,-1.55167e+001  ,-1.51939e+002  ,-9.90304e+000
91  ,3.71834e+002  ,-3.32228e+001  ,-2.41436e+002  ,-5.94019e+001  ,-5.65529e+001  ,-2.27548e+000
92  ,3.43586e+002  ,-4.54339e+000  ,-2.51776e+002  ,-3.63480e+001  ,-3.42178e+000  ,-7.62317e-003
93  ,3.53856e+002  ,-2.89014e+000  ,-2.32561e+002  ,-4.31849e+001  ,1.01917e+001  ,-1.12097e-001
94  ,3.51617e+002  ,-5.84341e+000  ,-2.24248e+002  ,-4.26872e+001  ,-4.00910e-001  ,1.11877e+000
95  ,3.46049e+002  ,-2.62063e+000  ,-2.34239e+002  ,-4.02968e+001  ,-1.12133e+001  ,1.20959e+000
96  ,3.45173e+002  ,-4.86984e+000  ,-2.48531e+002  ,-3.97152e+001  ,1.39250e+000  ,1.18721e+000
97  ,3.26424e+002  ,-4.75648e+000  ,-2.33339e+002  ,-2.53224e+001  ,5.12278e+001  ,-3.96484e-001
98  ,2.83532e+002  ,-4.00834e+000  ,-1.47046e+002  ,-2.13389e+001  ,1.36231e+002  ,6.49442e-001
99  ,-3.58996e+002  ,-1.16993e+001  ,7.66848e+001  ,1.01377e+001  ,5.37082e+002  ,1.01482e+001
100  ,-3.86876e+002  ,-1.60773e+001  ,2.39346e+002  ,4.84779e+001  ,4.56785e+002  ,2.06322e-001
101  ,-4.58603e+002  ,7.61671e+000  ,4.17889e+002  ,6.61945e+001  ,3.00256e+002  ,8.12419e+000
102  ,-4.83886e+002  ,-9.65062e+000  ,5.22341e+002  ,6.09537e+001  ,1.46307e+002  ,2.90307e+000
