Date:  12:25, Wednesday, June 10, 2015
Model name: Part1
Study name: Static 2(-Default-)
Plot type: Mesh Mesh Quality1
Result Type: Mesh


Node  ,Value  ,X (mm)  ,Y (mm)  ,Z (mm)
3892  ,0.000e+000  ,31.654  ,42.85  ,39.469
3893  ,0.000e+000  ,28.62  ,39.872  ,35.861
3894  ,0.000e+000  ,32.726  ,40.219  ,41.301
3895  ,0.000e+000  ,29.341  ,42.357  ,36.55
3896  ,0.000e+000  ,30.523  ,37.485  ,36.514
3897  ,0.000e+000  ,30.523  ,37.485  ,39.014
3898  ,0.000e+000  ,32.255  ,40.167  ,38.769
3899  ,0.000e+000  ,26.829  ,42.536  ,37.875
3900  ,0.000e+000  ,29.084  ,43.114  ,39.509
3901  ,0.000e+000  ,31.593  ,39.851  ,35.447
3902  ,0.000e+000  ,32.56  ,35.376  ,44.844
3903  ,0.000e+000  ,31.73  ,35.377  ,46.517
3904  ,0.000e+000  ,31.72  ,40.364  ,46.205
3905  ,0.000e+000  ,34.333  ,36.153  ,46.497
3906  ,0.000e+000  ,33.718  ,38.921  ,44.854
3907  ,0.000e+000  ,31.515  ,36.186  ,42.567
3908  ,0.000e+000  ,30.788  ,38.671  ,42.831
3909  ,0.000e+000  ,55.035  ,3.3771  ,22.474
3910  ,0.000e+000  ,55.07  ,3.2812  ,19.948
3911  ,0.000e+000  ,56.667  ,3.3333  ,24.167
3912  ,0.000e+000  ,55.209  ,5.0354  ,22.474
3913  ,0.000e+000  ,55  ,5  ,20
3914  ,0.000e+000  ,67.18  ,4.695  ,27.014
3915  ,0.000e+000  ,67.093  ,4.8961  ,24.466
3916  ,0.000e+000  ,25  ,35  ,15
3917  ,0.000e+000  ,28.761  ,34.971  ,21.229
3918  ,0.000e+000  ,25.584  ,34.899  ,21.341
3919  ,0.000e+000  ,26.827  ,45.368  ,17.064
3920  ,0.000e+000  ,31.836  ,45.713  ,18.798
3921  ,0.000e+000  ,29.717  ,45.245  ,16.84
3922  ,0.000e+000  ,31.276  ,45.178  ,20.523
3923  ,0.000e+000  ,31.086  ,45.245  ,23.736
3924  ,0.000e+000  ,29.14  ,44.923  ,24.056
3925  ,0.000e+000  ,26.054  ,45.266  ,19.561
3926  ,0.000e+000  ,33.242  ,42.375  ,21.786
3927  ,0.000e+000  ,33.053  ,42.441  ,24.999
3928  ,0.000e+000  ,31.106  ,42.119  ,25.319
3929  ,0.000e+000  ,31.886  ,37.471  ,23.104
3930  ,0.000e+000  ,35.382  ,40.291  ,21.226
3931  ,0.000e+000  ,30.729  ,38.861  ,24.271
3932  ,0.000e+000  ,30.534  ,42.803  ,21.237
3933  ,0.000e+000  ,35.421  ,42.965  ,17.003
3934  ,0.000e+000  ,33.302  ,42.498  ,15.046
3935  ,0.000e+000  ,34.861  ,42.431  ,18.729
3936  ,0.000e+000  ,36.686  ,36.957  ,15.527
3937  ,0.000e+000  ,37.022  ,42.371  ,14.825
3938  ,0.000e+000  ,34.749  ,42.751  ,13.559
3939  ,0.000e+000  ,37.509  ,39.746  ,13.992
3940  ,0.000e+000  ,38.946  ,40.072  ,16.703
3941  ,0.000e+000  ,37  ,40.348  ,18.169
3942  ,0.000e+000  ,34.119  ,40.056  ,19.443
3943  ,0.000e+000  ,34.442  ,34.401  ,16.709
3944  ,0.000e+000  ,31.261  ,34.971  ,21.229
3945  ,0.000e+000  ,28.75  ,35  ,18.75
3946  ,0.000e+000  ,31.875  ,37.5  ,20.625
3947  ,0.000e+000  ,33.494  ,37.556  ,17.568
3948  ,0.000e+000  ,33.181  ,42.968  ,16.97
3949  ,0.000e+000  ,31.062  ,42.5  ,15.012
3950  ,0.000e+000  ,32.621  ,42.433  ,18.696
3951  ,0.000e+000  ,28.753  ,37.558  ,17.534
3952  ,0.000e+000  ,29.912  ,42.862  ,18.146
3953  ,0.000e+000  ,31.878  ,40.058  ,19.409
3954  ,0.000e+000  ,33.497  ,40.115  ,16.352
3955  ,0.000e+000  ,31.253  ,37.558  ,17.534
3956  ,0.000e+000  ,-24.361  ,45.765  ,34.338
3957  ,0.000e+000  ,-23.723  ,45.711  ,29.665
3958  ,0.000e+000  ,-53.033  ,4.6293  ,40.366
3959  ,0.000e+000  ,-53.537  ,6.3568  ,35.297
3960  ,0.000e+000  ,-53.052  ,4.9349  ,37.997
3961  ,0.000e+000  ,-53.363  ,6.5336  ,41.042
3962  ,0.000e+000  ,-54.627  ,3.4398  ,39.59
3963  ,0.000e+000  ,-54.633  ,3.4903  ,34.498
3964  ,0.000e+000  ,-55.132  ,5.1673  ,34.521
3965  ,0.000e+000  ,-54.647  ,3.7454  ,37.221
3966  ,0.000e+000  ,-59.903  ,3.9153  ,36.807
3967  ,0.000e+000  ,-57.044  ,4.7361  ,34.392
3968  ,0.000e+000  ,-59.096  ,4.8349  ,34.367
3969  ,0.000e+000  ,-54.971  ,5.38  ,37.664
3970  ,0.000e+000  ,-65.077  ,9.3821  ,46.919
3971  ,0.000e+000  ,-65.169  ,7.0314  ,46.721
3972  ,0.000e+000  ,-64.901  ,5.0492  ,46.663
3973  ,0.000e+000  ,-62.473  ,5.0402  ,46.564
3974  ,0.000e+000  ,-64.371  ,6.2016  ,44.503
3975  ,0.000e+000  ,-55.862  ,3.3066  ,42.268
3976  ,0.000e+000  ,-58.581  ,3.6293  ,44.559
3977  ,0.000e+000  ,-60.364  ,3.6077  ,44.38
3978  ,0.000e+000  ,-62.263  ,4.7691  ,42.32
3979  ,0.000e+000  ,-56.193  ,5.2109  ,42.943
3980  ,0.000e+000  ,-61.138  ,3.7821  ,39.485
3981  ,0.000e+000  ,-56.206  ,5.2468  ,40.342
3982  ,0.000e+000  ,-57.801  ,4.0573  ,39.566
3983  ,0.000e+000  ,-61.145  ,5.3565  ,44.428
3984  ,0.000e+000  ,-38.732  ,37.302  ,19.523
3985  ,0.000e+000  ,-37.557  ,37.124  ,21.295
3986  ,0.000e+000  ,-39.734  ,37.314  ,17.776
3987  ,0.000e+000  ,-40.34  ,40.032  ,20.797
3988  ,0.000e+000  ,-37.187  ,37.44  ,17.674
3989  ,0.000e+000  ,-37.32  ,42.272  ,18.052
3990  ,0.000e+000  ,-40.09  ,45.443  ,23.164
3991  ,0.000e+000  ,-40.768  ,42.903  ,21.956
3992  ,0.000e+000  ,-41.172  ,45.994  ,21.539
3993  ,0.000e+000  ,-37.748  ,45.143  ,19.212
3994  ,0.000e+000  ,-38.553  ,42.75  ,20.258
3995  ,0.000e+000  ,-33.418  ,45.099  ,17.401
3996  ,0.000e+000  ,-31.525  ,37.806  ,16.922
3997  ,0.000e+000  ,-33.956  ,37.768  ,17.004
3998  ,0.000e+000  ,-34.088  ,42.6  ,17.382
3999  ,0.000e+000  ,-34.893  ,40.208  ,18.428
4000  ,0.000e+000  ,-30.991  ,43.035  ,17.777
4001  ,0.000e+000  ,67.188  ,4.7224  ,29.479
4002  ,0.000e+000  ,66.597  ,4.9479  ,32.448
4003  ,0.000e+000  ,66.659  ,6.6393  ,29.202
4004  ,0.000e+000  ,65.104  ,3.2641  ,28.021
4005  ,0.000e+000  ,59.583  ,3.5417  ,30.208
4006  ,0.000e+000  ,64.513  ,3.4896  ,30.99
4007  ,0.000e+000  ,59.583  ,3.5417  ,27.708
4008  ,0.000e+000  ,64.576  ,5.1809  ,27.743
4009  ,0.000e+000  ,64.583  ,5.2083  ,30.208
4010  ,0.000e+000  ,62.912  ,8.8792  ,36.226
4011  ,0.000e+000  ,65.243  ,10.163  ,37.481
4012  ,0.000e+000  ,65.285  ,12.278  ,35.372
4013  ,0.000e+000  ,62.65  ,11.217  ,35.978
4014  ,0.000e+000  ,65.981  ,8.7964  ,32.862
4015  ,0.000e+000  ,58.024  ,5.7412  ,31.762
4016  ,0.000e+000  ,58.051  ,5.8933  ,35.03
4017  ,0.000e+000  ,58.024  ,5.7412  ,29.262
4018  ,0.000e+000  ,56.584  ,7.9337  ,33.538
4019  ,0.000e+000  ,59.955  ,7.4906  ,35.127
4020  ,0.000e+000  ,56.728  ,9.9273  ,32.603
4021  ,0.000e+000  ,59.694  ,9.8285  ,34.879
4022  ,0.000e+000  ,63.024  ,7.4078  ,31.762
4023  ,0.000e+000  ,60.941  ,5.9495  ,30.304
4024  ,0.000e+000  ,62.338  ,9.5376  ,32.957
4025  ,0.000e+000  ,66.136  ,40.685  ,36.525
4026  ,0.000e+000  ,66.136  ,40.685  ,34.025
4027  ,0.000e+000  ,65.399  ,37.666  ,33.191
4028  ,0.000e+000  ,65.348  ,35.496  ,34.964
4029  ,0.000e+000  ,-1.3316  ,51.071  ,5.5313
4030  ,0.000e+000  ,1.398  ,51.141  ,5.4411
4031  ,0.000e+000  ,-2.9598  ,50.606  ,7.8365
4032  ,0.000e+000  ,1.9673  ,50.309  ,7.6442
4033  ,0.000e+000  ,2.683  ,50.59  ,10.301
4034  ,0.000e+000  ,65.317  ,29.555  ,38.652
4035  ,0.000e+000  ,65.5  ,32.551  ,37.188
4036  ,0.000e+000  ,62.86  ,30.846  ,39.184
4037  ,0.000e+000  ,65.757  ,35.092  ,38.607
4038  ,0.000e+000  ,19.723  ,37.73  ,11.293
4039  ,0.000e+000  ,20.899  ,35.257  ,11.247
4040  ,0.000e+000  ,17.201  ,35.084  ,13.799
4041  ,0.000e+000  ,-66.906  ,42.779  ,6.7289
4042  ,0.000e+000  ,-64.683  ,37.872  ,4.9614
4043  ,0.000e+000  ,-64.715  ,36.729  ,3.2434
4044  ,0.000e+000  ,-66.555  ,34.85  ,3.3947
4045  ,0.000e+000  ,-66.478  ,38.173  ,5.0516
4046  ,0.000e+000  ,66.727  ,46.753  ,34.349
4047  ,0.000e+000  ,65.104  ,46.788  ,35.156
4048  ,0.000e+000  ,66.771  ,45.121  ,36.823
4049  ,0.000e+000  ,66.239  ,43.006  ,39.241
4050  ,0.000e+000  ,63.01  ,42.145  ,41.383
4051  ,0.000e+000  ,66.343  ,44.794  ,39.397
4052  ,0.000e+000  ,19.123  ,33.374  ,4.8837
4053  ,0.000e+000  ,20.909  ,36.896  ,9.1882
4054  ,0.000e+000  ,22.084  ,34.423  ,9.1417
4055  ,0.000e+000  ,21.727  ,33.513  ,5.0349
4056  ,0.000e+000  ,16.296  ,34.279  ,5.7319
4057  ,0.000e+000  ,19.233  ,34.68  ,9.1384
4058  ,0.000e+000  ,25.38  ,45.337  ,7.1814
4059  ,0.000e+000  ,23.39  ,45.745  ,5.4833
4060  ,0.000e+000  ,26.15  ,45.279  ,9.4632
4061  ,0.000e+000  ,24.43  ,44.722  ,11.012
4062  ,0.000e+000  ,22.587  ,42.13  ,9.6063
4063  ,0.000e+000  ,20.963  ,44.447  ,9.5603
4064  ,0.000e+000  ,17.383  ,35.158  ,3.5104
4065  ,0.000e+000  ,19.987  ,35.296  ,3.6616
4066  ,0.000e+000  ,14.556  ,36.063  ,4.3586
4067  ,0.000e+000  ,17.493  ,36.464  ,7.7651
4068  ,0.000e+000  ,18.679  ,35.629  ,5.6601
4069  ,0.000e+000  ,19.843  ,40.076  ,8.9061
4070  ,0.000e+000  ,18.219  ,42.393  ,8.8602
4071  ,0.000e+000  ,18.167  ,37.861  ,8.8563
4072  ,0.000e+000  ,19.353  ,37.026  ,6.7514
4073  ,0.000e+000  ,21.03  ,42.261  ,7.1695
4074  ,0.000e+000  ,17.613  ,38.81  ,5.378
4075  ,0.000e+000  ,64.527  ,47.327  ,47.091
4076  ,0.000e+000  ,66.685  ,46.952  ,39.62
4077  ,0.000e+000  ,66.154  ,44.836  ,42.038
4078  ,0.000e+000  ,66.53  ,47.079  ,44.466
4079  ,0.000e+000  ,63.333  ,46.667  ,35.833
4080  ,0.000e+000  ,65  ,45  ,37.5
4081  ,0.000e+000  ,61.771  ,44.139  ,39.642
4082  ,0.000e+000  ,60.827  ,46.516  ,35.837
4083  ,0.000e+000  ,65.104  ,46.788  ,37.656
4084  ,0.000e+000  ,64.573  ,44.672  ,40.074
4085  ,0.000e+000  ,64.915  ,46.83  ,40.297
4086  ,0.000e+000  ,62.687  ,47.038  ,45.462
4087  ,0.000e+000  ,61.546  ,44.099  ,42.182
4088  ,0.000e+000  ,64.349  ,44.632  ,42.615
4089  ,0.000e+000  ,64.724  ,46.875  ,45.043
4090  ,0.000e+000  ,64.691  ,46.79  ,42.837
4091  ,0.000e+000  ,63.109  ,46.626  ,40.874
4092  ,0.000e+000  ,66.078  ,24.1  ,43.61
4093  ,0.000e+000  ,65.951  ,29.55  ,42.34
4094  ,0.000e+000  ,67.288  ,19.932  ,47.261
4095  ,0.000e+000  ,66.832  ,21.874  ,45.436
4096  ,0.000e+000  ,66.747  ,24.727  ,45.674
4097  ,0.000e+000  ,-19.962  ,34.017  ,46.507
4098  ,0.000e+000  ,-16.272  ,34.032  ,44.316
4099  ,0.000e+000  ,-15.368  ,33.762  ,46.651
4100  ,0.000e+000  ,-13.597  ,33.139  ,44.506
4101  ,0.000e+000  ,-2.8664  ,49.845  ,3.5844
4102  ,0.000e+000  ,-4.4946  ,49.38  ,5.8897
4103  ,0.000e+000  ,-4.8336  ,49.973  ,3.7058
4104  ,0.000e+000  ,-1.6685  ,48.568  ,5.849
4105  ,0.000e+000  ,-6.4733  ,49.006  ,7.2077
4106  ,0.000e+000  ,-6.8124  ,49.598  ,5.0237
4107  ,0.000e+000  ,-10.265  ,45.203  ,5.0087
4108  ,0.000e+000  ,-9.5114  ,46.425  ,8.1974
4109  ,0.000e+000  ,-5.182  ,46.967  ,5.2202
4110  ,0.000e+000  ,-3.548  ,36.965  ,10.235
4111  ,0.000e+000  ,-5.9294  ,38.441  ,6.866
4112  ,0.000e+000  ,-2.5114  ,37.224  ,12.865
4113  ,0.000e+000  ,-5.9269  ,43.109  ,8.4311
4114  ,0.000e+000  ,19.45  ,39.973  ,12.546
4115  ,0.000e+000  ,16.927  ,37.327  ,15.052
4116  ,0.000e+000  ,17.826  ,42.29  ,12.501
4117  ,0.000e+000  ,17.774  ,37.757  ,12.497
4118  ,0.000e+000  ,17.893  ,40.104  ,10.11
4119  ,0.000e+000  ,11.808  ,37.112  ,23.137
4120  ,0.000e+000  ,12.994  ,42.276  ,21.969
4121  ,0.000e+000  ,12.89  ,36.917  ,25.541
4122  ,0.000e+000  ,13.933  ,39.803  ,24.793
4123  ,0.000e+000  ,11.353  ,34.853  ,21.04
4124  ,0.000e+000  ,13.841  ,34.844  ,17.424
4125  ,0.000e+000  ,11.782  ,37.293  ,20.591
4126  ,0.000e+000  ,21.796  ,45.401  ,16.272
4127  ,0.000e+000  ,19.953  ,42.809  ,14.866
4128  ,0.000e+000  ,18.828  ,46.024  ,20.756
4129  ,0.000e+000  ,18.329  ,45.126  ,14.82
4130  ,0.000e+000  ,16.128  ,45.336  ,19.819
4131  ,0.000e+000  ,21.023  ,45.298  ,18.768
4132  ,0.000e+000  ,18.003  ,42.836  ,16.069
4133  ,0.000e+000  ,66.291  ,14.468  ,21.199
4134  ,0.000e+000  ,56.225  ,7.2389  ,21.533
4135  ,0.000e+000  ,56.016  ,7.2035  ,19.059
4136  ,0.000e+000  ,57.683  ,5.5368  ,20.726
4137  ,0.000e+000  ,66.84  ,3.2386  ,15.599
4138  ,0.000e+000  ,67.066  ,3.3006  ,20.238
4139  ,0.000e+000  ,56.737  ,3.2812  ,17.865
4140  ,0.000e+000  ,58.333  ,3.3333  ,15.417
4141  ,0.000e+000  ,56.667  ,5  ,17.917
4142  ,0.000e+000  ,58.333  ,3.3333  ,19.583
4143  ,0.000e+000  ,59.349  ,5.5368  ,18.642
4144  ,0.000e+000  ,63.298  ,3.3771  ,17.891
4145  ,0.000e+000  ,65.245  ,3.4866  ,21.962
4146  ,0.000e+000  ,59.81  ,3.5631  ,21.698
4147  ,0.000e+000  ,64.802  ,5.2024  ,24.233
4148  ,0.000e+000  ,62.727  ,3.7714  ,25.24
4149  ,0.000e+000  ,60.826  ,5.7666  ,20.757
4150  ,0.000e+000  ,64.775  ,3.6069  ,20.006
4151  ,0.000e+000  ,61.477  ,3.5631  ,19.615
4152  ,0.000e+000  ,35.651  ,39.64  ,3.229
4153  ,0.000e+000  ,36.813  ,35.199  ,3.2364
4154  ,0.000e+000  ,37.356  ,35.173  ,5.3829
4155  ,0.000e+000  ,37.24  ,37.363  ,5.6854
4156  ,0.000e+000  ,37.941  ,34.413  ,11.428
4157  ,0.000e+000  ,35.951  ,34.421  ,12.955
4158  ,0.000e+000  ,36.774  ,37.209  ,11.421
4159  ,0.000e+000  ,36.691  ,34.196  ,9.3542
4160  ,0.000e+000  ,36.575  ,36.386  ,9.6567
4161  ,0.000e+000  ,35.003  ,37.576  ,13.814
4162  ,0.000e+000  ,32.759  ,35.02  ,14.996
4163  ,0.000e+000  ,32.763  ,37.578  ,13.78
4164  ,0.000e+000  ,26.25  ,35  ,11.25
4165  ,0.000e+000  ,27.5  ,35  ,15
4166  ,0.000e+000  ,30  ,35  ,15
4167  ,0.000e+000  ,30.003  ,37.558  ,13.784
4168  ,0.000e+000  ,31.509  ,35.02  ,11.246
4169  ,0.000e+000  ,31.23  ,43.505  ,10.716
4170  ,0.000e+000  ,32.401  ,42.825  ,12.041
4171  ,0.000e+000  ,36.121  ,42.698  ,11.82
4172  ,0.000e+000  ,33.847  ,43.078  ,10.554
4173  ,0.000e+000  ,36.608  ,40.073  ,10.988
4174  ,0.000e+000  ,36.408  ,39.249  ,9.2239
4175  ,0.000e+000  ,34.836  ,40.439  ,13.381
4176  ,0.000e+000  ,32.596  ,40.442  ,13.348
4177  ,0.000e+000  ,34.101  ,37.903  ,10.809
4178  ,0.000e+000  ,31.342  ,37.883  ,10.813
4179  ,0.000e+000  ,-65.456  ,27.713  ,19.923
4180  ,0.000e+000  ,-64.256  ,29.246  ,21.237
4181  ,0.000e+000  ,-61.696  ,28.881  ,19.816
4182  ,0.000e+000  ,-64.793  ,34.88  ,4.9099
4183  ,0.000e+000  ,-66.634  ,33.001  ,5.0612
4184  ,0.000e+000  ,-66.557  ,36.324  ,6.7181
4185  ,0.000e+000  ,-66.588  ,35.182  ,5.0001
4186  ,0.000e+000  ,-65.54  ,21.724  ,16.668
4187  ,0.000e+000  ,-65.908  ,23.336  ,13.835
4188  ,0.000e+000  ,-65.324  ,25.238  ,18.525
4189  ,0.000e+000  ,-64.458  ,22.156  ,14.683
4190  ,0.000e+000  ,-62.465  ,23.835  ,13.57
4191  ,0.000e+000  ,-64.898  ,26.574  ,17.225
4192  ,0.000e+000  ,-57.106  ,28.615  ,14.767
4193  ,0.000e+000  ,-56.757  ,27.814  ,17.086
4194  ,0.000e+000  ,-58.991  ,28.824  ,18.565
4195  ,0.000e+000  ,-62.325  ,28.991  ,17.372
4196  ,0.000e+000  ,-62.193  ,26.516  ,15.974
4197  ,0.000e+000  ,-54.208  ,29.659  ,8.3887
4198  ,0.000e+000  ,-54.809  ,29.819  ,11.791
4199  ,0.000e+000  ,-55.074  ,28.781  ,10.024
4200  ,0.000e+000  ,-14.389  ,47.173  ,44.537
4201  ,0.000e+000  ,-16.571  ,46.516  ,44.775
4202  ,0.000e+000  ,-22.548  ,44.895  ,44.78
4203  ,0.000e+000  ,-22.223  ,46.499  ,44.748
4204  ,0.000e+000  ,-19.723  ,46.499  ,44.748
4205  ,0.000e+000  ,-24.221  ,46.561  ,43.114
4206  ,0.000e+000  ,-22.424  ,46.032  ,39.563
4207  ,0.000e+000  ,-20.142  ,46.062  ,39.724
4208  ,0.000e+000  ,-18.624  ,46.471  ,42.923
4209  ,0.000e+000  ,-20.988  ,42.925  ,46.446
4210  ,0.000e+000  ,-20.663  ,44.529  ,46.415
4211  ,0.000e+000  ,-18.163  ,44.529  ,46.415
4212  ,0.000e+000  ,-18.349  ,38.584  ,46.345
4213  ,0.000e+000  ,-17.064  ,44.5  ,44.589
4214  ,0.000e+000  ,-20.216  ,44.484  ,44.562
4215  ,0.000e+000  ,66.444  ,40.789  ,18.332
4216  ,0.000e+000  ,65.914  ,35.977  ,19.456
4217  ,0.000e+000  ,64.965  ,46.623  ,19.193
4218  ,0.000e+000  ,65.052  ,46.597  ,21.719
4219  ,0.000e+000  ,65  ,45  ,20
4220  ,0.000e+000  ,63.359  ,46.609  ,19.1
4221  ,0.000e+000  ,60.392  ,46.093  ,22.741
4222  ,0.000e+000  ,65.086  ,46.727  ,24.349
4223  ,0.000e+000  ,63.333  ,46.667  ,25
4224  ,0.000e+000  ,66.719  ,44.93  ,22.552
4225  ,0.000e+000  ,66.667  ,43.333  ,20.833
4226  ,0.000e+000  ,66.753  ,45.061  ,25.182
4227  ,0.000e+000  ,65  ,45  ,25.833
4228  ,0.000e+000  ,66.722  ,41.935  ,25.062
4229  ,0.000e+000  ,66.444  ,40.789  ,20.832
4230  ,0.000e+000  ,65  ,45  ,22.5
4231  ,0.000e+000  ,62.782  ,37.209  ,23.963
4232  ,0.000e+000  ,65.355  ,35.682  ,22.07
4233  ,0.000e+000  ,65.204  ,35.319  ,25.025
4234  ,0.000e+000  ,62.806  ,34.288  ,22.837
4235  ,0.000e+000  ,65.148  ,37.474  ,26.779
4236  ,0.000e+000  ,65.94  ,39.095  ,25.175
4237  ,0.000e+000  ,65.663  ,37.949  ,20.946
4238  ,0.000e+000  ,65.885  ,40.493  ,23.447
4239  ,0.000e+000  ,58.367  ,45.224  ,16.624
4240  ,0.000e+000  ,60.924  ,46.001  ,17.368
4241  ,0.000e+000  ,57.957  ,45.484  ,21.01
4242  ,0.000e+000  ,60.898  ,46.058  ,19.935
4243  ,0.000e+000  ,59.389  ,43.451  ,23.815
4244  ,0.000e+000  ,60.893  ,39.073  ,24.09
4245  ,0.000e+000  ,59.824  ,43.571  ,26.175
4246  ,0.000e+000  ,62.33  ,44.025  ,26.074
4247  ,0.000e+000  ,64.051  ,40.96  ,25.302
4248  ,0.000e+000  ,62.33  ,44.025  ,22.74
4249  ,0.000e+000  ,63.996  ,42.358  ,23.574
4250  ,0.000e+000  ,63.215  ,39.518  ,23.687
4251  ,0.000e+000  ,59.895  ,43.416  ,21.009
4252  ,0.000e+000  ,64.667  ,42.713  ,18.681
4253  ,0.000e+000  ,63.026  ,44.322  ,17.781
4254  ,0.000e+000  ,64.444  ,40.168  ,18.68
4255  ,0.000e+000  ,63  ,44.379  ,20.348
4256  ,0.000e+000  ,64.667  ,42.713  ,21.181
4257  ,0.000e+000  ,63.886  ,39.873  ,21.295
4258  ,0.000e+000  ,60.565  ,43.771  ,18.617
4259  ,0.000e+000  ,61.997  ,41.737  ,21.422
4260  ,0.000e+000  ,8.994  ,35.07  ,23.471
4261  ,0.000e+000  ,9.4229  ,37.51  ,23.022
4262  ,0.000e+000  ,10.408  ,37.406  ,31.096
4263  ,0.000e+000  ,8.4113  ,42.421  ,31.147
4264  ,0.000e+000  ,10.473  ,37.241  ,26.014
4265  ,0.000e+000  ,11.554  ,37.047  ,28.417
4266  ,0.000e+000  ,12.597  ,39.933  ,27.669
4267  ,0.000e+000  ,10.902  ,39.682  ,25.565
4268  ,0.000e+000  ,8.0873  ,37.64  ,25.898
4269  ,0.000e+000  ,29.444  ,41.801  ,46.33
4270  ,0.000e+000  ,27.8  ,43.252  ,43.187
4271  ,0.000e+000  ,27.238  ,43.669  ,47.059
4272  ,0.000e+000  ,28.512  ,40.109  ,42.956
4273  ,0.000e+000  ,29.504  ,38.81  ,46.509
4274  ,0.000e+000  ,66.611  ,27.126  ,45.567
4275  ,0.000e+000  ,67.365  ,24.899  ,47.392
4276  ,0.000e+000  ,66.632  ,5.0438  ,7.474
4277  ,0.000e+000  ,66.598  ,4.9467  ,4.9492
4278  ,0.000e+000  ,66.671  ,6.9141  ,5.0526
4279  ,0.000e+000  ,64.948  ,5.0701  ,4.9479
4280  ,0.000e+000  ,-49.352  ,33.155  ,3.4713
4281  ,0.000e+000  ,-44.245  ,33.334  ,3.4298
4282  ,0.000e+000  ,-45.052  ,34.965  ,3.386
4283  ,0.000e+000  ,-47.814  ,35.105  ,3.5654
4284  ,0.000e+000  ,-46.796  ,33.449  ,5.137
4285  ,0.000e+000  ,-36.693  ,33.368  ,5.0438
4286  ,0.000e+000  ,-37.5  ,35  ,5
4287  ,0.000e+000  ,-38.958  ,34.167  ,8.9583
4288  ,0.000e+000  ,-35  ,35  ,5.0001
4289  ,0.000e+000  ,-36.458  ,34.167  ,8.9583
4290  ,0.000e+000  ,-39.167  ,33.333  ,6.6667
4291  ,0.000e+000  ,-29.193  ,33.368  ,5.0438
4292  ,0.000e+000  ,-32.5  ,35  ,5.0001
4293  ,0.000e+000  ,-29.166  ,33.333  ,6.667
4294  ,0.000e+000  ,-31.458  ,34.167  ,8.9584
4295  ,0.000e+000  ,-33.958  ,34.167  ,8.9584
4296  ,0.000e+000  ,-29.998  ,35  ,5.0004
4297  ,0.000e+000  ,-34.167  ,33.333  ,6.6667
4298  ,0.000e+000  ,-34.219  ,33.403  ,3.4209
4299  ,0.000e+000  ,-29.219  ,33.403  ,3.4209
4300  ,0.000e+000  ,-32.526  ,35.035  ,3.3772
4301  ,0.000e+000  ,-30.025  ,35.035  ,3.3774
4302  ,0.000e+000  ,-34.193  ,33.368  ,5.0438
4303  ,0.000e+000  ,-31.693  ,33.368  ,5.0438
4304  ,0.000e+000  ,65.208  ,3.1948  ,13.125
4305  ,0.000e+000  ,60  ,3.3333  ,13.333
4306  ,0.000e+000  ,64.965  ,3.3771  ,15.807
4307  ,0.000e+000  ,61.667  ,3.3333  ,15.417
4308  ,0.000e+000  ,66.14  ,31.906  ,43.749
4309  ,0.000e+000  ,66.183  ,29.31  ,45.257
4310  ,0.000e+000  ,66.801  ,29.483  ,46.976
4311  ,0.000e+000  ,52.104  ,30.222  ,2.8998
4312  ,0.000e+000  ,49.684  ,33.07  ,3.0206
4313  ,0.000e+000  ,49.745  ,33.381  ,5.0298
4314  ,0.000e+000  ,53.376  ,31.394  ,8.9863
4315  ,0.000e+000  ,48.793  ,34.424  ,6.9451
4316  ,0.000e+000  ,51.552  ,33.454  ,5.039
4317  ,0.000e+000  ,53.819  ,32.012  ,11.087
4318  ,0.000e+000  ,52.057  ,34.382  ,9.1491
4319  ,0.000e+000  ,65.271  ,3.3402  ,42.931
4320  ,0.000e+000  ,66.914  ,3.7524  ,44.819
4321  ,0.000e+000  ,66.133  ,6.3576  ,41.755
4322  ,0.000e+000  ,46.224  ,37.066  ,16.068
4323  ,0.000e+000  ,44.827  ,40.015  ,16.01
4324  ,0.000e+000  ,45.443  ,43.107  ,14.193
4325  ,0.000e+000  ,46.967  ,42.833  ,12.215
4326  ,0.000e+000  ,45.726  ,40.092  ,12.609
4327  ,0.000e+000  ,51.444  ,42.854  ,9.6268
4328  ,0.000e+000  ,49.863  ,41.862  ,9.3323
4329  ,0.000e+000  ,48.126  ,43.065  ,10.321
4330  ,0.000e+000  ,47.896  ,37.774  ,9.0272
4331  ,0.000e+000  ,46.885  ,40.324  ,10.715
4332  ,0.000e+000  ,51.159  ,37.732  ,11.231
4333  ,0.000e+000  ,48.659  ,40.232  ,13.106
4334  ,0.000e+000  ,55.959  ,45.173  ,14.345
4335  ,0.000e+000  ,53.358  ,45.295  ,10.844
4336  ,0.000e+000  ,51.732  ,42.905  ,12.429
4337  ,0.000e+000  ,45.868  ,46.217  ,13.356
4338  ,0.000e+000  ,50.71  ,45.732  ,10.684
4339  ,0.000e+000  ,49.129  ,44.74  ,10.39
4340  ,0.000e+000  ,47.392  ,45.943  ,11.379
4341  ,0.000e+000  ,47.925  ,43.11  ,14.164
4342  ,0.000e+000  ,49.084  ,43.342  ,12.27
4343  ,0.000e+000  ,50.998  ,45.784  ,13.487
4344  ,0.000e+000  ,43.723  ,45.048  ,18.732
4345  ,0.000e+000  ,44.202  ,42.515  ,17.885
4346  ,0.000e+000  ,44.818  ,45.607  ,16.068
