Date:  12:25, Wednesday, June 10, 2015
Model name: Part1
Study name: Static 2(-Default-)
Plot type: Mesh Mesh Quality1
Result Type: Mesh


Node  ,Value  ,X (mm)  ,Y (mm)  ,Z (mm)
135  ,0.000e+000  ,15  ,50  ,5
136  ,0.000e+000  ,15  ,50  ,10
137  ,0.000e+000  ,15  ,50  ,15
138  ,0.000e+000  ,15  ,50  ,20
139  ,0.000e+000  ,15  ,50  ,25
140  ,0.000e+000  ,15  ,50  ,30
141  ,0.000e+000  ,15  ,50  ,35
142  ,0.000e+000  ,15  ,50  ,40
143  ,0.000e+000  ,15  ,50  ,45
144  ,0.000e+000  ,-10  ,50  ,50
145  ,0.000e+000  ,-10  ,50  ,45
146  ,0.000e+000  ,-10  ,50  ,40
147  ,0.000e+000  ,-10  ,50  ,35
148  ,0.000e+000  ,-10  ,50  ,30
149  ,0.000e+000  ,-10  ,50  ,25
150  ,0.000e+000  ,-10  ,50  ,20
151  ,0.000e+000  ,-10  ,50  ,15
152  ,0.000e+000  ,-10  ,50  ,10
153  ,0.000e+000  ,-10  ,50  ,5
154  ,0.000e+000  ,-10  ,50  ,0
155  ,0.000e+000  ,-15  ,50  ,0
156  ,0.000e+000  ,-20  ,50  ,0
157  ,0.000e+000  ,-25  ,50  ,0
158  ,0.000e+000  ,-30  ,50  ,0
159  ,0.000e+000  ,-35  ,50  ,0
160  ,0.000e+000  ,-40  ,50  ,0
161  ,0.000e+000  ,-45  ,50  ,0
162  ,0.000e+000  ,-50  ,50  ,0
163  ,0.000e+000  ,-55  ,50  ,0
164  ,0.000e+000  ,-60  ,50  ,0
165  ,0.000e+000  ,-65  ,50  ,0
166  ,0.000e+000  ,-70  ,50  ,0
167  ,0.000e+000  ,-70  ,50  ,5
168  ,0.000e+000  ,-70  ,50  ,10
169  ,0.000e+000  ,-70  ,50  ,15
170  ,0.000e+000  ,-70  ,50  ,20
171  ,0.000e+000  ,-70  ,50  ,25
172  ,0.000e+000  ,-70  ,50  ,30
173  ,0.000e+000  ,-70  ,50  ,35
174  ,0.000e+000  ,-70  ,50  ,40
175  ,0.000e+000  ,-70  ,50  ,45
176  ,0.000e+000  ,-70  ,50  ,50
177  ,0.000e+000  ,-65  ,50  ,50
178  ,0.000e+000  ,-60  ,50  ,50
179  ,0.000e+000  ,-55  ,50  ,50
180  ,0.000e+000  ,-50  ,50  ,50
181  ,0.000e+000  ,-45  ,50  ,50
182  ,0.000e+000  ,-40  ,50  ,50
183  ,0.000e+000  ,-35  ,50  ,50
184  ,0.000e+000  ,-30  ,50  ,50
185  ,0.000e+000  ,-25  ,50  ,50
186  ,0.000e+000  ,-20  ,50  ,50
187  ,0.000e+000  ,-15  ,50  ,50
188  ,0.000e+000  ,-40  ,50  ,5
189  ,0.000e+000  ,-40  ,50  ,10
190  ,0.000e+000  ,-40  ,50  ,15
191  ,0.000e+000  ,-40  ,50  ,20
192  ,0.000e+000  ,-40  ,50  ,25
193  ,0.000e+000  ,-40  ,50  ,30
194  ,0.000e+000  ,-40  ,50  ,35
195  ,0.000e+000  ,-40  ,50  ,40
196  ,0.000e+000  ,-40  ,50  ,45
197  ,0.000e+000  ,-35  ,50  ,5
198  ,0.000e+000  ,-35  ,50  ,10
199  ,0.000e+000  ,-35  ,50  ,15
200  ,0.000e+000  ,-35  ,50  ,20
201  ,0.000e+000  ,-35  ,50  ,25
202  ,0.000e+000  ,-35  ,50  ,30
203  ,0.000e+000  ,-35  ,50  ,35
204  ,0.000e+000  ,-35  ,50  ,40
205  ,0.000e+000  ,-35  ,50  ,45
206  ,0.000e+000  ,-30  ,50  ,5
207  ,0.000e+000  ,-30  ,50  ,10
208  ,0.000e+000  ,-30  ,50  ,15
209  ,0.000e+000  ,-30  ,50  ,20
210  ,0.000e+000  ,-30  ,50  ,25
211  ,0.000e+000  ,-30  ,50  ,30
212  ,0.000e+000  ,-30  ,50  ,35
213  ,0.000e+000  ,-30  ,50  ,40
214  ,0.000e+000  ,-30  ,50  ,45
215  ,0.000e+000  ,-25  ,50  ,5
216  ,0.000e+000  ,-25  ,50  ,10
217  ,0.000e+000  ,-25  ,50  ,15
218  ,0.000e+000  ,-25  ,50  ,20
219  ,0.000e+000  ,-25  ,50  ,25
220  ,0.000e+000  ,-25  ,50  ,30
221  ,0.000e+000  ,-25  ,50  ,35
222  ,0.000e+000  ,-25  ,50  ,40
223  ,0.000e+000  ,-25  ,50  ,45
224  ,0.000e+000  ,-20  ,50  ,5
225  ,0.000e+000  ,-20  ,50  ,10
226  ,0.000e+000  ,-20  ,50  ,15
227  ,0.000e+000  ,-20  ,50  ,20
228  ,0.000e+000  ,-20  ,50  ,25
229  ,0.000e+000  ,-20  ,50  ,30
230  ,0.000e+000  ,-20  ,50  ,35
231  ,0.000e+000  ,-20  ,50  ,40
232  ,0.000e+000  ,-20  ,50  ,45
233  ,0.000e+000  ,-15  ,50  ,5
234  ,0.000e+000  ,-15  ,50  ,10
235  ,0.000e+000  ,-15  ,50  ,15
236  ,0.000e+000  ,-15  ,50  ,20
237  ,0.000e+000  ,-15  ,50  ,25
238  ,0.000e+000  ,-15  ,50  ,30
239  ,0.000e+000  ,-15  ,50  ,35
240  ,0.000e+000  ,-15  ,50  ,40
241  ,0.000e+000  ,-15  ,50  ,45
242  ,0.000e+000  ,-45  ,50  ,5
243  ,0.000e+000  ,-45  ,50  ,10
244  ,0.000e+000  ,-45  ,50  ,15
245  ,0.000e+000  ,-45  ,50  ,20
246  ,0.000e+000  ,-45  ,50  ,25
247  ,0.000e+000  ,-45  ,50  ,30
248  ,0.000e+000  ,-45  ,50  ,35
249  ,0.000e+000  ,-45  ,50  ,40
250  ,0.000e+000  ,-45  ,50  ,45
251  ,0.000e+000  ,-50  ,50  ,5
252  ,0.000e+000  ,-50  ,50  ,10
253  ,0.000e+000  ,-50  ,50  ,15
254  ,0.000e+000  ,-50  ,50  ,20
255  ,0.000e+000  ,-50  ,50  ,25
256  ,0.000e+000  ,-50  ,50  ,30
257  ,0.000e+000  ,-50  ,50  ,35
258  ,0.000e+000  ,-50  ,50  ,40
259  ,0.000e+000  ,-50  ,50  ,45
260  ,0.000e+000  ,-55  ,50  ,5
261  ,0.000e+000  ,-55  ,50  ,10
262  ,0.000e+000  ,-55  ,50  ,15
263  ,0.000e+000  ,-55  ,50  ,20
264  ,0.000e+000  ,-55  ,50  ,25
265  ,0.000e+000  ,-55  ,50  ,30
266  ,0.000e+000  ,-55  ,50  ,35
267  ,0.000e+000  ,-55  ,50  ,40
268  ,0.000e+000  ,-55  ,50  ,45
269  ,0.000e+000  ,-60  ,50  ,5
270  ,0.000e+000  ,-60  ,50  ,10
271  ,0.000e+000  ,-60  ,50  ,15
272  ,0.000e+000  ,-60  ,50  ,20
273  ,0.000e+000  ,-60  ,50  ,25
274  ,0.000e+000  ,-60  ,50  ,30
275  ,0.000e+000  ,-60  ,50  ,35
276  ,0.000e+000  ,-60  ,50  ,40
277  ,0.000e+000  ,-60  ,50  ,45
278  ,0.000e+000  ,-65  ,50  ,5
279  ,0.000e+000  ,-65  ,50  ,10
280  ,0.000e+000  ,-65  ,50  ,15
281  ,0.000e+000  ,-65  ,50  ,20
282  ,0.000e+000  ,-65  ,50  ,25
283  ,0.000e+000  ,-65  ,50  ,30
284  ,0.000e+000  ,-65  ,50  ,35
285  ,0.000e+000  ,-65  ,50  ,40
286  ,0.000e+000  ,-65  ,50  ,45
287  ,0.000e+000  ,-70  ,45  ,0
288  ,0.000e+000  ,-70  ,40  ,0
289  ,0.000e+000  ,-70  ,35  ,0
290  ,0.000e+000  ,-70  ,30  ,0
291  ,0.000e+000  ,-70  ,25  ,0
292  ,0.000e+000  ,-70  ,20  ,0
293  ,0.000e+000  ,-70  ,15  ,0
294  ,0.000e+000  ,-70  ,10  ,0
295  ,0.000e+000  ,-70  ,5  ,0
296  ,0.000e+000  ,-70  ,-1.4083E-014  ,0
297  ,0.000e+000  ,-70  ,-1.4083E-014  ,5
298  ,0.000e+000  ,-70  ,-1.4083E-014  ,10
299  ,0.000e+000  ,-70  ,-1.4083E-014  ,15
300  ,0.000e+000  ,-70  ,-1.4083E-014  ,20
301  ,0.000e+000  ,-70  ,-1.4083E-014  ,25
302  ,0.000e+000  ,-70  ,-1.4083E-014  ,30
303  ,0.000e+000  ,-70  ,-1.4083E-014  ,35
304  ,0.000e+000  ,-70  ,-1.4083E-014  ,40
305  ,0.000e+000  ,-70  ,-1.4083E-014  ,45
306  ,0.000e+000  ,-70  ,-1.4083E-014  ,50
307  ,0.000e+000  ,-70  ,5  ,50
308  ,0.000e+000  ,-70  ,10  ,50
309  ,0.000e+000  ,-70  ,15  ,50
310  ,0.000e+000  ,-70  ,20  ,50
311  ,0.000e+000  ,-70  ,25  ,50
312  ,0.000e+000  ,-70  ,30  ,50
313  ,0.000e+000  ,-70  ,35  ,50
314  ,0.000e+000  ,-70  ,40  ,50
315  ,0.000e+000  ,-70  ,45  ,50
316  ,0.000e+000  ,-70  ,25  ,5
317  ,0.000e+000  ,-70  ,25  ,10
318  ,0.000e+000  ,-70  ,25  ,15
319  ,0.000e+000  ,-70  ,25  ,20
320  ,0.000e+000  ,-70  ,25  ,25
321  ,0.000e+000  ,-70  ,25  ,30
322  ,0.000e+000  ,-70  ,25  ,35
323  ,0.000e+000  ,-70  ,25  ,40
324  ,0.000e+000  ,-70  ,25  ,45
325  ,0.000e+000  ,-70  ,30  ,5
326  ,0.000e+000  ,-70  ,30  ,10
327  ,0.000e+000  ,-70  ,30  ,15
328  ,0.000e+000  ,-70  ,30  ,20
329  ,0.000e+000  ,-70  ,30  ,25
330  ,0.000e+000  ,-70  ,30  ,30
331  ,0.000e+000  ,-70  ,30  ,35
332  ,0.000e+000  ,-70  ,30  ,40
333  ,0.000e+000  ,-70  ,30  ,45
334  ,0.000e+000  ,-70  ,35  ,5
335  ,0.000e+000  ,-70  ,35  ,10
336  ,0.000e+000  ,-70  ,35  ,15
337  ,0.000e+000  ,-70  ,35  ,20
338  ,0.000e+000  ,-70  ,35  ,25
339  ,0.000e+000  ,-70  ,35  ,30
340  ,0.000e+000  ,-70  ,35  ,35
341  ,0.000e+000  ,-70  ,35  ,40
342  ,0.000e+000  ,-70  ,35  ,45
343  ,0.000e+000  ,-70  ,40  ,5
344  ,0.000e+000  ,-70  ,40  ,10
345  ,0.000e+000  ,-70  ,40  ,15
346  ,0.000e+000  ,-70  ,40  ,20
347  ,0.000e+000  ,-70  ,40  ,25
348  ,0.000e+000  ,-70  ,40  ,30
349  ,0.000e+000  ,-70  ,40  ,35
350  ,0.000e+000  ,-70  ,40  ,40
351  ,0.000e+000  ,-70  ,40  ,45
352  ,0.000e+000  ,-70  ,45  ,5
353  ,0.000e+000  ,-70  ,45  ,10
354  ,0.000e+000  ,-70  ,45  ,15
355  ,0.000e+000  ,-70  ,45  ,20
356  ,0.000e+000  ,-70  ,45  ,25
357  ,0.000e+000  ,-70  ,45  ,30
358  ,0.000e+000  ,-70  ,45  ,35
359  ,0.000e+000  ,-70  ,45  ,40
360  ,0.000e+000  ,-70  ,45  ,45
361  ,0.000e+000  ,-70  ,20  ,5
362  ,0.000e+000  ,-70  ,20  ,10
363  ,0.000e+000  ,-70  ,20  ,15
364  ,0.000e+000  ,-70  ,20  ,20
365  ,0.000e+000  ,-70  ,20  ,25
366  ,0.000e+000  ,-70  ,20  ,30
367  ,0.000e+000  ,-70  ,20  ,35
368  ,0.000e+000  ,-70  ,20  ,40
369  ,0.000e+000  ,-70  ,20  ,45
370  ,0.000e+000  ,-70  ,15  ,5
371  ,0.000e+000  ,-70  ,15  ,10
372  ,0.000e+000  ,-70  ,15  ,15
373  ,0.000e+000  ,-70  ,15  ,20
374  ,0.000e+000  ,-70  ,15  ,25
375  ,0.000e+000  ,-70  ,15  ,30
376  ,0.000e+000  ,-70  ,15  ,35
377  ,0.000e+000  ,-70  ,15  ,40
378  ,0.000e+000  ,-70  ,15  ,45
379  ,0.000e+000  ,-70  ,10  ,5
380  ,0.000e+000  ,-70  ,10  ,10
381  ,0.000e+000  ,-70  ,10  ,15
382  ,0.000e+000  ,-70  ,10  ,20
383  ,0.000e+000  ,-70  ,10  ,25
384  ,0.000e+000  ,-70  ,10  ,30
385  ,0.000e+000  ,-70  ,10  ,35
386  ,0.000e+000  ,-70  ,10  ,40
387  ,0.000e+000  ,-70  ,10  ,45
388  ,0.000e+000  ,-70  ,5  ,5
389  ,0.000e+000  ,-70  ,5  ,10
390  ,0.000e+000  ,-70  ,5  ,15
391  ,0.000e+000  ,-70  ,5  ,20
392  ,0.000e+000  ,-70  ,5  ,25
393  ,0.000e+000  ,-70  ,5  ,30
394  ,0.000e+000  ,-70  ,5  ,35
395  ,0.000e+000  ,-70  ,5  ,40
396  ,0.000e+000  ,-70  ,5  ,45
397  ,0.000e+000  ,-65  ,-1.3777E-014  ,0
398  ,0.000e+000  ,-60  ,-1.3471E-014  ,0
399  ,0.000e+000  ,-55  ,-1.3165E-014  ,0
400  ,0.000e+000  ,-50  ,0  ,0
401  ,0.000e+000  ,-50  ,0  ,5
402  ,0.000e+000  ,-50  ,0  ,10
403  ,0.000e+000  ,-50  ,0  ,15
404  ,0.000e+000  ,-50  ,0  ,20
405  ,0.000e+000  ,-50  ,0  ,25
406  ,0.000e+000  ,-50  ,0  ,30
407  ,0.000e+000  ,-50  ,0  ,35
408  ,0.000e+000  ,-50  ,0  ,40
409  ,0.000e+000  ,-50  ,0  ,45
410  ,0.000e+000  ,-50  ,-1.2859E-014  ,50
411  ,0.000e+000  ,-55  ,-1.3165E-014  ,50
412  ,0.000e+000  ,-60  ,-1.3471E-014  ,50
413  ,0.000e+000  ,-65  ,-1.3777E-014  ,50
414  ,0.000e+000  ,-65  ,-1.3777E-014  ,25
415  ,0.000e+000  ,-60  ,-1.3471E-014  ,25
416  ,0.000e+000  ,-55  ,-1.3165E-014  ,25
417  ,0.000e+000  ,-65  ,-1.3777E-014  ,30
418  ,0.000e+000  ,-60  ,-1.3471E-014  ,30
419  ,0.000e+000  ,-55  ,-1.3165E-014  ,30
420  ,0.000e+000  ,-65  ,-1.3777E-014  ,35
421  ,0.000e+000  ,-60  ,-1.3471E-014  ,35
422  ,0.000e+000  ,-55  ,-1.3165E-014  ,35
423  ,0.000e+000  ,-65  ,-1.3777E-014  ,40
424  ,0.000e+000  ,-60  ,-1.3471E-014  ,40
425  ,0.000e+000  ,-55  ,-1.3165E-014  ,40
426  ,0.000e+000  ,-65  ,-1.3777E-014  ,45
427  ,0.000e+000  ,-60  ,-1.3471E-014  ,45
428  ,0.000e+000  ,-55  ,-1.3165E-014  ,45
429  ,0.000e+000  ,-65  ,-1.3777E-014  ,20
430  ,0.000e+000  ,-60  ,-1.3471E-014  ,20
431  ,0.000e+000  ,-55  ,-1.3165E-014  ,20
432  ,0.000e+000  ,-65  ,-1.3777E-014  ,15
433  ,0.000e+000  ,-60  ,-1.3471E-014  ,15
434  ,0.000e+000  ,-55  ,-1.3165E-014  ,15
435  ,0.000e+000  ,-65  ,-1.3777E-014  ,10
436  ,0.000e+000  ,-60  ,-1.3471E-014  ,10
437  ,0.000e+000  ,-55  ,-1.3165E-014  ,10
438  ,0.000e+000  ,-65  ,-1.3777E-014  ,5
439  ,0.000e+000  ,-60  ,-1.3471E-014  ,5
440  ,0.000e+000  ,-55  ,-1.3165E-014  ,5
441  ,0.000e+000  ,-50  ,5  ,0
442  ,0.000e+000  ,-50  ,10  ,0
443  ,0.000e+000  ,-50  ,15  ,0
444  ,0.000e+000  ,-50  ,20  ,0
445  ,0.000e+000  ,-50  ,25  ,0
446  ,0.000e+000  ,-50  ,30  ,0
447  ,0.000e+000  ,-50  ,30  ,5
448  ,0.000e+000  ,-50  ,30  ,10
449  ,0.000e+000  ,-50  ,30  ,15
450  ,0.000e+000  ,-50  ,30  ,20
451  ,0.000e+000  ,-50  ,30  ,25
452  ,0.000e+000  ,-50  ,30  ,30
453  ,0.000e+000  ,-50  ,30  ,35
454  ,0.000e+000  ,-50  ,30  ,40
455  ,0.000e+000  ,-50  ,30  ,45
456  ,0.000e+000  ,-50  ,30  ,50
457  ,0.000e+000  ,-50  ,25  ,50
458  ,0.000e+000  ,-50  ,20  ,50
459  ,0.000e+000  ,-50  ,15  ,50
460  ,0.000e+000  ,-50  ,10  ,50
461  ,0.000e+000  ,-50  ,5  ,50
462  ,0.000e+000  ,-50  ,25  ,25
463  ,0.000e+000  ,-50  ,20  ,25
464  ,0.000e+000  ,-50  ,15  ,25
465  ,0.000e+000  ,-50  ,10  ,25
466  ,0.000e+000  ,-50  ,5  ,25
467  ,0.000e+000  ,-50  ,25  ,30
468  ,0.000e+000  ,-50  ,20  ,30
469  ,0.000e+000  ,-50  ,15  ,30
470  ,0.000e+000  ,-50  ,10  ,30
471  ,0.000e+000  ,-50  ,5  ,30
472  ,0.000e+000  ,-50  ,25  ,35
473  ,0.000e+000  ,-50  ,20  ,35
474  ,0.000e+000  ,-50  ,15  ,35
475  ,0.000e+000  ,-50  ,10  ,35
476  ,0.000e+000  ,-50  ,5  ,35
477  ,0.000e+000  ,-50  ,25  ,40
478  ,0.000e+000  ,-50  ,20  ,40
479  ,0.000e+000  ,-50  ,15  ,40
480  ,0.000e+000  ,-50  ,10  ,40
481  ,0.000e+000  ,-50  ,5  ,40
482  ,0.000e+000  ,-50  ,25  ,45
483  ,0.000e+000  ,-50  ,20  ,45
484  ,0.000e+000  ,-50  ,15  ,45
485  ,0.000e+000  ,-50  ,10  ,45
486  ,0.000e+000  ,-50  ,5  ,45
487  ,0.000e+000  ,-50  ,25  ,20
488  ,0.000e+000  ,-50  ,20  ,20
489  ,0.000e+000  ,-50  ,15  ,20
490  ,0.000e+000  ,-50  ,10  ,20
491  ,0.000e+000  ,-50  ,5  ,20
492  ,0.000e+000  ,-50  ,25  ,15
493  ,0.000e+000  ,-50  ,20  ,15
494  ,0.000e+000  ,-50  ,15  ,15
495  ,0.000e+000  ,-50  ,10  ,15
496  ,0.000e+000  ,-50  ,5  ,15
497  ,0.000e+000  ,-50  ,25  ,10
498  ,0.000e+000  ,-50  ,20  ,10
499  ,0.000e+000  ,-50  ,15  ,10
500  ,0.000e+000  ,-50  ,10  ,10
501  ,0.000e+000  ,-50  ,5  ,10
502  ,0.000e+000  ,-50  ,25  ,5
503  ,0.000e+000  ,-50  ,20  ,5
504  ,0.000e+000  ,-50  ,15  ,5
505  ,0.000e+000  ,-50  ,10  ,5
506  ,0.000e+000  ,-50  ,5  ,5
507  ,0.000e+000  ,-45  ,30  ,0
508  ,0.000e+000  ,-40  ,30  ,0
509  ,0.000e+000  ,-35  ,30  ,0
510  ,0.000e+000  ,-30  ,30  ,0
511  ,0.000e+000  ,-25  ,30  ,0
512  ,0.000e+000  ,-20  ,30  ,0
513  ,0.000e+000  ,-15  ,30  ,0
514  ,0.000e+000  ,-10  ,30  ,0
515  ,0.000e+000  ,-5  ,30  ,0
516  ,0.000e+000  ,-5.2042E-015  ,30  ,0
517  ,0.000e+000  ,5  ,30  ,0
518  ,0.000e+000  ,10  ,30  ,0
519  ,0.000e+000  ,15  ,30  ,0
520  ,0.000e+000  ,20  ,30  ,0
521  ,0.000e+000  ,25  ,30  ,0
522  ,0.000e+000  ,30  ,30  ,0
523  ,0.000e+000  ,35  ,30  ,0
524  ,0.000e+000  ,40  ,30  ,0
525  ,0.000e+000  ,45  ,30  ,0
526  ,0.000e+000  ,50  ,30  ,0
527  ,0.000e+000  ,50  ,30  ,5
528  ,0.000e+000  ,50  ,30  ,10
529  ,0.000e+000  ,50  ,30  ,15
530  ,0.000e+000  ,50  ,30  ,20
531  ,0.000e+000  ,50  ,30  ,25
532  ,0.000e+000  ,50  ,30  ,30
533  ,0.000e+000  ,50  ,30  ,35
534  ,0.000e+000  ,50  ,30  ,40
535  ,0.000e+000  ,50  ,30  ,45
536  ,0.000e+000  ,50  ,30  ,50
537  ,0.000e+000  ,45  ,30  ,50
538  ,0.000e+000  ,40  ,30  ,50
539  ,0.000e+000  ,35  ,30  ,50
540  ,0.000e+000  ,30  ,30  ,50
541  ,0.000e+000  ,25  ,30  ,50
542  ,0.000e+000  ,20  ,30  ,50
543  ,0.000e+000  ,15  ,30  ,50
544  ,0.000e+000  ,10  ,30  ,50
545  ,0.000e+000  ,5  ,30  ,50
546  ,0.000e+000  ,-5.2042E-015  ,30  ,50
547  ,0.000e+000  ,-5  ,30  ,50
548  ,0.000e+000  ,-10  ,30  ,50
549  ,0.000e+000  ,-15  ,30  ,50
550  ,0.000e+000  ,-20  ,30  ,50
551  ,0.000e+000  ,-25  ,30  ,50
552  ,0.000e+000  ,-30  ,30  ,50
